Size;Time;BestCost;MeanCost;CostDeviation;CostOptDist;MeanCostOptDist;MeanSteps;MeanNumSolutions
15;0.000301;400064;466243;0.036061;11850;78029.2;3.30487;0
20;0.000389;752844;860561;0.029399;49362;157079;3.54565;0
25;0.000476;1278240;1402620;0.022567;110984;235363;3.72321;0
30;0.000574;1997092;2149050;0.017871;178946;330904;3.89261;0
35;0.000671;2682958;2874380;0.016504;260956;452375;3.99574;0
40;0.000777;3499504;3718710;0.014792;360134;579336;4.11723;0
50;0.000992;5493368;5822200;0.012105;554572;883407;4.29662;0
60;0.001228;8058512;8425320;0.010219;852550;1219360;4.44958;0
80;0.001737;14991292;15508600;0.007433;1492110;2009460;4.64937;0
100;0.002306;23300172;23946100;0.006003;2247710;2893680;4.81932;0
