Size;Time;BestCost;MeanCost;CostDeviation;CostOptDist;MeanCostOptDist;MeanSteps;MeanNumSolutions
100;0.000624;23564904;24081700;0.004888;2512440;3029240;-1;-1
15;0.000044;413010;492913;0.034196;24796;104699;-1;-1
20;0.000055;790488;897097;0.026319;87006;193615;-1;-1
25;0.000068;1309334;1445970;0.019776;142078;278714;-1;-1
30;0.000085;2027786;2198900;0.015382;209640;380759;-1;-1
35;0.000104;2718372;2933550;0.013949;296370;511543;-1;-1
40;0.000126;3568212;3784950;0.012373;428842;645582;-1;-1
50;0.000181;5604906;5902460;0.010008;666110;963668;-1;-1
60;0.000246;8178000;8518470;0.008342;972038;1312500;-1;-1
80;0.000415;15190484;15624600;0.006062;1691300;2125440;-1;-1
