Size;Time;BestCost;MeanCost;CostDeviation;CostOptDist;MeanCostOptDist;MeanSteps;MeanNumSolutions
15;0.005963;388214;406961;0.017595;0;18747;8.50229;892.74
20;0.018833;708198;745988;0.015184;4716;42505.9;11.3605;2158.49
25;0.046632;1189170;1232120;0.011382;21914;64862;14.3652;4309.56
30;0.099299;1855688;1910660;0.009259;37542;92512.8;17.6543;7679.6
35;0.184069;2480692;2545420;0.008205;58690;123418;20.5046;12200.2
40;0.314567;3217312;3298480;0.007855;77942;159106;23.4319;18276.9
50;0.802621;5113162;5185950;0.006026;174366;247156;30.4733;37329.8
60;1.62926;7453984;7560300;0.005624;248022;354334;35.5946;63002.4
80;5.07592;13968220;14074300;0.003608;469036;575148;46.7083;147598
100;14.1611;21706994;21825100;0.003369;654528;772642;61.8889;306350
