Iteration;BeginSolution;EndSolution
1;1414;996
2;1566;996
3;1422;996
4;1372;996
5;1448;996
6;1522;996
7;1460;996
8;1486;996
9;1446;996
10;1234;996
11;1548;996
12;1428;996
13;1320;996
14;1420;996
15;1400;996
16;1244;996
17;1478;996
18;1250;996
19;1498;996
20;1408;996
21;1526;996
22;1366;996
23;1188;996
24;1524;996
25;1454;996
26;1326;996
27;1274;996
28;1544;996
29;1538;996
30;1434;996
31;1388;996
32;1476;996
33;1492;996
34;1208;996
35;1160;996
36;1328;996
37;1334;996
38;1352;996
39;1432;996
40;1472;996
41;1474;996
42;1476;996
43;1380;996
44;1224;996
45;1096;996
46;1230;996
47;1316;996
48;1218;996
49;1474;996
50;1416;996
51;1536;996
52;1544;996
53;1504;996
54;1380;996
55;1314;996
56;1450;996
57;1458;996
58;1460;996
59;1434;996
60;1364;996
61;1216;996
62;1452;996
63;1460;996
64;1422;996
65;1382;996
66;1294;996
67;1468;996
68;1386;996
69;1342;996
70;1472;996
71;1278;996
72;1446;996
73;1482;996
74;1364;996
75;1456;996
76;1328;996
77;1354;996
78;1488;996
79;1344;996
80;1536;996
81;1418;996
82;1488;996
83;1528;996
84;1364;996
85;1410;996
86;1296;996
87;1346;996
88;1472;996
89;1400;996
90;1348;996
91;1396;996
92;1474;996
93;1496;996
94;1486;996
95;1548;996
96;1212;996
97;1224;996
98;1368;996
99;1492;996
100;1518;996
101;1382;996
102;1314;996
103;1292;996
104;1368;996
105;1446;996
106;1338;996
107;1480;996
108;1368;996
109;1542;996
110;1538;996
111;1542;996
112;1402;996
113;1410;996
114;1476;996
115;1362;996
116;1354;996
117;1330;996
118;1310;996
119;1432;996
120;1414;996
121;1470;996
122;1398;996
123;1448;996
124;1432;996
125;1522;996
126;1474;996
127;1430;996
128;1470;996
129;1448;996
130;1492;996
131;1388;996
132;1470;996
133;1200;996
134;1486;996
135;1290;996
136;1520;996
137;1224;996
138;1544;996
139;1488;996
140;1446;996
141;1424;996
142;1474;996
143;1402;996
144;1476;996
145;1290;996
146;1412;996
147;1364;996
148;1438;996
149;1258;996
150;1422;996
151;1214;996
152;1406;996
153;1480;996
154;1408;996
155;1480;996
156;1522;996
157;1398;996
158;1266;996
159;1436;996
160;1298;996
161;1320;996
162;1526;996
163;1332;996
164;1468;996
165;1246;996
166;1520;996
167;1522;996
168;1424;996
169;1376;996
170;1530;996
171;1468;996
172;1178;996
173;1352;996
174;1394;996
175;1342;996
176;1426;996
177;1316;996
178;1476;996
179;1474;996
180;1264;996
181;1468;996
182;1344;996
183;1410;996
184;1258;996
185;1458;996
186;1448;996
187;1400;996
188;1550;996
189;1490;996
190;1468;996
191;1274;996
192;1544;996
193;1464;996
194;1432;996
195;1488;996
196;1340;996
197;1446;996
198;1464;996
199;1544;996
200;1530;996
