Iteration;BeginSolution;EndSolution
1;173594;171184
2;173891;171184
3;173765;171184
4;173595;171184
5;173671;171184
6;173833;171184
7;173605;171184
8;173797;171184
9;173883;171184
10;173892;171184
11;173915;171184
12;173639;171184
13;174050;171184
14;173887;171184
15;173806;171184
16;174108;171184
17;173811;171184
18;174128;171184
19;173957;171184
20;173800;171184
21;173636;171184
22;173723;171184
23;173953;171184
24;173571;171184
25;173875;171184
26;173424;171184
27;173824;171184
28;173678;171184
29;173925;171184
30;173669;171184
31;173930;171184
32;174014;171184
33;173613;171184
34;173610;171184
35;173773;171184
36;173962;171184
37;173815;171184
38;173848;171184
39;173784;171184
40;173632;171184
41;173735;171184
42;174419;171184
43;173511;171184
44;173649;171184
45;173738;171184
46;173718;171184
47;173733;171184
48;173857;171184
49;173404;171184
50;173718;171184
51;173749;171184
52;173846;171184
53;173889;171184
54;173585;171184
55;173728;171184
56;173707;171184
57;173517;171184
58;173589;171184
59;173625;171184
60;173765;171184
61;173905;171184
62;173816;171184
63;173990;171184
64;173553;171184
65;173960;171184
66;174010;171184
67;173995;171184
68;173669;171184
69;173748;171184
70;173718;171184
71;173694;171184
72;173694;171184
73;173746;171184
74;173733;171184
75;173446;171184
76;173680;171184
77;173641;171184
78;173419;171184
79;173897;171184
80;173706;171184
81;173735;171184
82;173858;171184
83;173757;171184
84;173726;171184
85;173902;171184
86;173723;171184
87;173530;171184
88;173534;171184
89;173601;171184
90;173741;171184
91;173365;171184
92;173773;171184
93;173577;171184
94;173623;171184
95;173759;171184
96;173805;171184
97;173907;171184
98;173808;171184
99;173756;171184
100;173808;171184
101;173776;171184
102;173943;171184
103;173875;171184
104;173520;171184
105;173773;171184
106;173757;171184
107;173903;171184
108;173848;171184
109;173707;171184
110;173602;171157
111;173646;171157
112;173855;171157
113;173793;171157
114;173628;171157
115;173825;171157
116;173929;171157
117;173729;171157
118;174009;171157
119;174265;171157
120;173703;171157
121;173634;171157
122;173327;171157
123;173566;171157
124;173810;171157
125;174113;171157
126;173544;171157
127;173992;171157
128;174190;171157
129;173616;171157
130;173855;171157
131;173683;171157
132;173850;171157
133;173775;171157
134;173674;171157
135;173614;171157
136;173601;171157
137;173852;171157
138;173897;171157
139;173822;171157
140;173649;171157
141;173826;171157
142;173732;171157
143;173750;171157
144;173664;171157
145;173781;171157
146;173671;171157
147;173710;171157
148;173620;171157
149;173752;171157
150;173505;171157
151;173672;171157
152;173380;171157
153;173426;171157
154;173945;171157
155;173991;171157
156;174152;171157
157;173685;171157
158;173774;171157
159;174003;171157
160;173868;171157
161;174043;171157
162;173858;171157
163;173870;171157
164;173443;171157
165;173725;171157
166;173793;171157
167;173566;171157
168;174099;171157
169;173944;171157
170;173807;171157
171;173929;171157
172;173914;171157
173;173909;171157
174;173563;171157
175;173725;171157
176;173985;171157
177;173843;171157
178;173718;171157
179;173890;171157
180;173821;171157
181;173920;171157
182;173661;171157
183;174056;171157
184;173669;171157
185;173632;171157
186;173496;171157
187;173819;171157
188;173894;171157
189;173523;171157
190;173477;171157
191;173674;171157
192;173873;171157
193;173946;171157
194;173781;171157
195;174022;171157
196;173944;171157
197;173697;171157
198;173586;171157
199;173605;171157
200;173792;171157
