Iteration;BeginSolution;EndSolution
1;8096;6332
2;8038;6332
3;8420;6332
4;8488;6244
5;8430;6204
6;8038;6204
7;8202;6204
8;7954;6204
9;8180;6204
10;8270;6204
11;8112;6204
12;8160;6204
13;7800;6204
14;7942;6204
15;7950;6204
16;8074;6204
17;8150;6204
18;8226;6204
19;8168;6204
20;8324;6204
21;8206;6204
22;8116;6204
23;8014;6204
24;7990;6204
25;8160;6204
26;8308;6204
27;8594;6204
28;8064;6204
29;7920;6204
30;8176;6204
31;8138;6204
32;8022;6204
33;8074;6204
34;8234;6204
35;8478;6204
36;8202;6204
37;8190;6204
38;8038;6204
39;8002;6204
40;7776;6178
41;8220;6178
42;8252;6178
43;8364;6178
44;8416;6178
45;8014;6178
46;8386;6178
47;8262;6178
48;8314;6178
49;8234;6178
50;8144;6178
51;7912;6178
52;8204;6178
53;8462;6178
54;8330;6178
55;8498;6178
56;7978;6178
57;8062;6178
58;8500;6178
59;7484;6178
60;8164;6178
61;8118;6178
62;7916;6178
63;7910;6178
64;8152;6178
65;8010;6178
66;8572;6178
67;7954;6178
68;8180;6178
69;8014;6178
70;8404;6178
71;8284;6178
72;7982;6178
73;8356;6178
74;8256;6178
75;8214;6178
76;8576;6178
77;7956;6178
78;8292;6178
79;7824;6178
80;8324;6178
81;8364;6178
82;8040;6178
83;8004;6178
84;8128;6178
85;7684;6178
86;8290;6178
87;8176;6178
88;8550;6178
89;7850;6178
90;7992;6178
91;8138;6178
92;8162;6178
93;8276;6178
94;8426;6178
95;7744;6178
96;8488;6178
97;7974;6178
98;8414;6178
99;8404;6178
100;8082;6178
101;8252;6178
102;8078;6178
103;8260;6178
104;8164;6178
105;8320;6178
106;7858;6178
107;8112;6178
108;8358;6178
109;8694;6178
110;8056;6178
111;8486;6178
112;8376;6178
113;7982;6178
114;8478;6178
115;8162;6178
116;8208;6178
117;7958;6178
118;8196;6178
119;8396;6178
120;8072;6178
121;8376;6178
122;7932;6178
123;7944;6178
124;7608;6178
125;8006;6178
126;7952;6178
127;8052;6178
128;7892;6178
129;8434;6178
130;8068;6178
131;8064;6178
132;7964;6178
133;8348;6178
134;7954;6178
135;8104;6178
136;8492;6178
137;8400;6178
138;7754;6178
139;8112;6178
140;8078;6178
141;7868;6178
142;8410;6178
143;8152;6178
144;7836;6178
145;8238;6178
146;8546;6178
147;7968;6178
148;8112;6178
149;7928;6178
150;8224;6178
151;7924;6178
152;8152;6178
153;8050;6178
154;7942;6178
155;7838;6178
156;7998;6178
157;8332;6178
158;8058;6178
159;7964;6178
160;8072;6178
161;8220;6178
162;7972;6178
163;7984;6178
164;8080;6178
165;8038;6178
166;8048;6178
167;8378;6178
168;7792;6178
169;8128;6178
170;7788;6178
171;7866;6178
172;8046;6178
173;7914;6178
174;8164;6178
175;8020;6178
176;8066;6178
177;8106;6178
178;8496;6178
179;8152;6178
180;8328;6178
181;7814;6178
182;8210;6178
183;7918;6178
184;8152;6178
185;7866;6178
186;7952;6178
187;7886;6178
188;7840;6178
189;8436;6178
190;8132;6178
191;8112;6178
192;8068;6178
193;8374;6178
194;8194;6178
195;8268;6178
196;8048;6178
197;7866;6178
198;8314;6178
199;8282;6178
200;8224;6178
