Iteration;BeginSolution;EndSolution
1;473418;385046
2;499168;377848
3;463098;377848
4;480174;377848
5;477802;377848
6;461150;373580
7;444196;373580
8;468072;371322
9;481288;371322
10;485948;369838
11;486416;369838
12;484644;369838
13;472898;369838
14;424476;369838
15;458654;369838
16;470822;369838
17;459122;369838
18;457516;369838
19;441132;369838
20;478536;369838
21;479642;369838
22;475260;369838
23;481456;369838
24;453114;369838
25;508664;369838
26;461546;369838
27;453322;369838
28;480676;369838
29;466628;369838
30;486160;367678
31;469542;367678
32;474894;367678
33;496596;367678
34;465296;367678
35;449844;367678
36;476536;367678
37;446010;367678
38;457770;367678
39;478114;367678
40;436396;367678
41;477348;367678
42;489650;367678
43;488428;367678
44;509962;367678
45;450506;367678
46;479112;367678
47;442392;367678
48;439812;367678
49;446582;367678
50;459242;367678
51;456514;367678
52;464076;367678
53;457658;367678
54;487238;367678
55;435094;367678
56;470886;366078
57;463516;366078
58;464084;366078
59;486332;366078
60;431630;366078
61;468026;366078
62;464146;366078
63;439294;363048
64;476782;363048
65;470668;363048
66;479536;363048
67;468850;363048
68;460930;363048
69;476034;363048
70;490212;363048
71;450178;363048
72;462522;363048
73;500406;363048
74;470076;363048
75;459130;363048
76;496688;363048
77;453408;363048
78;466036;363048
79;472202;363048
80;433660;363048
81;451914;363048
82;453240;363048
83;466002;363048
84;457502;363048
85;468738;363048
86;483020;363048
87;489268;363048
88;451936;363048
89;468808;363048
90;501790;363048
91;473260;363048
92;471352;363048
93;456450;363048
94;469380;363048
95;461286;363048
96;468362;363048
97;456336;363048
98;461032;363048
99;469248;363048
100;474044;363048
101;480932;363048
102;486216;363048
103;495492;363048
104;482250;363048
105;467370;363048
106;463386;363048
107;464200;363048
108;460656;363048
109;435220;363048
110;429168;362918
111;470366;362918
112;460326;362918
113;467422;362918
114;476106;362918
115;456870;362918
116;454718;362918
117;436188;362918
118;464772;362918
119;479950;362918
120;450962;362918
121;457540;362918
122;469728;362918
123;446162;362918
124;420208;362918
125;487466;362918
126;462038;362918
127;461754;362918
128;490236;362918
129;449824;362918
130;485756;362918
131;448420;362918
132;470498;362918
133;477114;362918
134;449122;362918
135;481716;362918
136;448658;362918
137;493306;362918
138;478874;362918
139;439574;362918
140;473822;362918
141;426740;362918
142;480948;362918
143;465734;362918
144;455382;362918
145;474896;362918
146;451348;362918
147;475614;362918
148;488862;362918
149;433874;362918
150;461546;362918
151;500124;362918
152;458146;362918
153;492120;362918
154;469932;362918
155;448370;362918
156;472492;362918
157;484878;362918
158;498872;362918
159;503202;362918
160;489642;362918
161;485748;362918
162;484252;362918
163;489698;362918
164;455516;362918
165;468598;362918
166;439514;362918
167;448002;362918
168;464820;362918
169;419734;362918
170;485738;362918
171;483500;362918
172;478392;362918
173;476200;362918
174;489482;362918
175;445692;362918
176;466504;362918
177;451526;362918
178;465468;362918
179;474286;362918
180;424140;362918
181;470996;362918
182;464726;362918
183;462326;362918
184;471726;362918
185;451560;362918
186;486500;362918
187;460188;362918
188;451658;362918
189;486436;362918
190;440496;362918
191;469216;362918
192;452104;362918
193;463998;362918
194;472002;362918
195;499024;362918
196;450142;362918
197;490550;362918
198;480414;362918
199;448848;362918
200;459156;362918
