Iteration;BeginSolution;EndSolution
1;232624;119288
2;194400;119288
3;228018;119288
4;253388;114172
5;232398;114172
6;239358;114172
7;241416;114172
8;211180;114172
9;250482;114172
10;207464;114172
11;235654;114172
12;225110;114172
13;190556;114172
14;247446;114172
15;221806;114172
16;253312;114080
17;205542;114080
18;225062;114080
19;209864;114080
20;182278;114080
21;207496;114080
22;254534;114080
23;216524;114080
24;237016;114080
25;225544;114080
26;214598;114080
27;228260;114080
28;243588;114080
29;245186;113140
30;239762;113140
31;232824;113140
32;215690;112494
33;242264;112494
34;241546;112494
35;236778;112494
36;236454;112494
37;195854;112494
38;247390;112494
39;217072;112494
40;249772;112156
41;221588;112156
42;222066;112156
43;214478;112156
44;202356;112156
45;226298;112156
46;222438;112156
47;252824;112156
48;229624;112156
49;234614;112156
50;246800;112156
51;240672;112156
52;225704;112156
53;214122;112156
54;212678;112156
55;239274;112156
56;230928;112156
57;222316;112156
58;202182;112156
59;264176;112156
60;235588;112156
61;206824;112156
62;227214;112156
63;249178;112156
64;217196;112156
65;185066;112156
66;221574;112156
67;230066;112156
68;238286;112156
69;206420;112156
70;215092;112156
71;229608;112156
72;226080;112156
73;218680;112156
74;231120;112156
75;240238;112156
76;216020;110868
77;212720;110868
78;208592;110868
79;195670;110868
80;237096;110868
81;246676;110868
82;247698;110868
83;228082;110868
84;203918;110868
85;233150;110868
86;251528;110868
87;250236;110868
88;228060;110868
89;249106;110868
90;233886;110868
91;238110;110868
92;218940;110868
93;193712;110868
94;246844;110868
95;271662;110868
96;221916;110868
97;198106;110868
98;225368;110868
99;220008;110868
100;207404;110868
101;281322;110868
102;234782;110868
103;233404;110868
104;207938;110868
105;225168;110868
106;244442;110868
107;258724;110868
108;233396;110868
109;189858;110868
110;178898;110868
111;248658;110868
112;196564;110868
113;205318;110868
114;201204;110868
115;196860;110868
116;195082;110868
117;225978;110868
118;238630;110868
119;225120;110868
120;270192;110868
121;195286;110868
122;247186;110868
123;225532;110868
124;169850;110868
125;237196;110868
126;239420;110868
127;243102;110868
128;229402;110868
129;215800;110868
130;216938;110868
131;207652;110868
132;206804;110868
133;251428;110868
134;224290;110868
135;277978;110868
136;225784;110868
137;206854;110868
138;235472;110868
139;212216;110868
140;192654;110868
141;225914;110868
142;203958;110868
143;213926;110868
144;231984;110868
145;190962;110868
146;224850;110868
147;250434;110868
148;234676;110868
149;224332;110868
150;197390;110868
151;227610;110868
152;252484;110868
153;260916;110868
154;242698;110868
155;224290;110868
156;241868;110868
157;217082;110868
158;237692;110868
159;253126;110868
160;235164;110868
161;225826;110868
162;197880;110868
163;211438;110868
164;193502;110868
165;219292;110868
166;197678;110868
167;200560;110868
168;250166;110868
169;213302;110868
170;246438;110868
171;206214;110868
172;247484;110868
173;249228;110868
174;216538;110868
175;223704;110868
176;192256;110868
177;234592;110868
178;230904;110868
179;242960;110868
180;263686;110868
181;222014;110868
182;200414;110868
183;191576;110868
184;211102;110868
185;237820;110868
186;238708;110868
187;231470;110868
188;208040;110868
189;205226;110868
190;249812;110868
191;231040;110868
192;225952;110868
193;225600;110868
194;236772;110868
195;248844;110868
196;258758;110868
197;236780;110868
198;199672;110868
199;241030;110868
200;230242;110868
