Iteration;BeginSolution;EndSolution
1;23816;10506
2;22960;10506
3;24800;10506
4;18616;10506
5;20336;10466
6;23894;10224
7;24148;10224
8;24506;10224
9;17634;10182
10;25288;10182
11;22230;10182
12;23446;10182
13;23400;10182
14;28560;10182
15;24300;10182
16;22100;10182
17;24462;10182
18;25430;10182
19;23534;10182
20;21398;10182
21;22952;10182
22;22550;10182
23;20028;10182
24;21342;10182
25;21878;10174
26;25170;10174
27;24160;9986
28;24224;9986
29;23530;9986
30;22944;9926
31;22604;9926
32;21712;9926
33;21848;9926
34;22806;9926
35;22958;9926
36;20806;9926
37;21990;9926
38;23898;9926
39;20722;9926
40;21356;9926
41;21360;9884
42;22888;9884
43;22258;9884
44;24344;9884
45;24534;9884
46;21480;9884
47;21760;9884
48;25844;9884
49;23444;9884
50;26180;9884
51;23024;9884
52;20458;9884
53;21518;9884
54;24474;9884
55;23058;9884
56;22892;9884
57;21696;9884
58;22182;9884
59;22202;9884
60;22350;9884
61;21854;9884
62;20870;9884
63;19268;9884
64;21864;9884
65;23498;9884
66;20602;9884
67;28608;9884
68;27154;9884
69;19922;9884
70;22648;9884
71;22832;9884
72;20392;9884
73;28234;9884
74;25314;9884
75;25984;9884
76;22834;9884
77;21308;9884
78;22144;9884
79;20004;9884
80;23102;9884
81;27838;9884
82;23358;9884
83;18198;9884
84;26726;9884
85;22042;9846
86;21886;9846
87;18434;9846
88;26230;9846
89;24034;9846
90;18230;9846
91;21944;9846
92;25460;9846
93;22910;9846
94;22540;9846
95;23522;9846
96;19602;9846
97;25864;9846
98;24498;9846
99;21220;9846
100;24724;9846
101;21754;9846
102;22208;9846
103;24196;9846
104;22968;9820
105;18448;9820
106;23778;9820
107;23182;9820
108;22242;9820
109;21238;9820
110;24096;9820
111;25742;9820
112;25248;9820
113;24608;9820
114;21218;9820
115;23812;9820
116;25688;9820
117;24870;9820
118;19988;9820
119;22384;9820
120;23260;9820
121;23294;9820
122;24056;9820
123;26406;9820
124;20468;9820
125;26010;9820
126;22960;9820
127;21150;9820
128;22810;9820
129;23928;9820
130;23610;9820
131;19938;9820
132;23868;9820
133;25132;9820
134;23748;9820
135;22034;9820
136;22600;9820
137;27286;9820
138;23988;9820
139;22868;9820
140;23798;9820
141;19334;9820
142;20196;9820
143;19678;9820
144;25158;9820
145;22012;9820
146;22450;9820
147;22252;9820
148;21910;9820
149;23808;9820
150;24864;9820
151;21464;9820
152;22282;9820
153;22904;9820
154;22662;9820
155;23674;9820
156;26150;9820
157;23388;9820
158;22228;9820
159;24834;9820
160;21700;9820
161;22260;9820
162;24676;9820
163;19854;9820
164;23922;9820
165;19822;9820
166;19400;9820
167;23486;9820
168;19242;9820
169;22534;9820
170;21924;9820
171;21710;9820
172;22546;9820
173;25244;9820
174;21852;9820
175;21560;9820
176;21192;9820
177;22272;9820
178;22282;9820
179;21136;9806
180;24062;9806
181;20600;9806
182;23558;9806
183;23622;9806
184;19836;9806
185;19372;9806
186;25080;9806
187;24582;9806
188;24622;9806
189;23156;9806
190;19000;9806
191;22562;9806
192;22218;9806
193;26890;9806
194;23198;9806
195;21968;9806
196;19980;9806
197;21564;9806
198;24850;9806
199;19684;9806
200;23150;9806
