Iteration;BeginSolution;EndSolution
1;54160;49566
2;55120;49612
3;55184;49474
4;55098;49498
5;55324;49468
6;55110;49720
7;54668;49654
8;55230;49478
9;55224;49872
10;54438;49462
11;54818;49442
12;55352;49258
13;55228;49634
14;56604;49490
15;56196;49358
16;56016;49180
17;55410;49180
18;55200;49552
19;56098;49466
20;56166;49704
21;55786;49276
22;54726;50012
23;55972;49082
24;55626;49336
25;55768;49328
26;54614;49282
27;55462;49374
28;54782;49290
29;55482;49528
30;56056;49840
31;54772;49670
32;55726;49286
33;55488;49780
34;54736;49692
35;56276;49010
36;55220;49402
37;56548;49486
38;56366;49624
39;55678;49214
40;54564;49144
41;55134;49860
42;55940;49914
43;55842;49598
44;55822;49664
45;54844;49320
46;53866;49616
47;55818;49290
48;55814;48976
49;54744;49094
50;55242;49316
51;54774;49280
52;56420;49514
53;56486;49372
54;54824;49628
55;54418;50272
56;55388;49678
57;55554;49714
58;55988;49528
59;55672;49258
60;55890;50030
61;55324;49450
62;55684;49580
63;55998;49180
64;55864;49250
65;55754;49374
66;56240;49022
67;56022;49120
68;55694;49362
69;55582;49612
70;55994;49172
71;54872;49742
72;54660;49206
73;55920;49110
74;55382;49612
75;55726;49524
76;55578;49268
77;55350;49718
78;55560;49894
79;55762;48976
80;55510;49418
81;56860;49722
82;56304;49508
83;55234;49648
84;54574;49818
85;55560;50036
86;56304;49986
87;55928;49422
88;55450;49874
89;55098;49992
90;55770;49564
91;55966;49988
92;55902;49858
93;54434;49052
94;55860;49714
95;55416;49178
96;54756;49512
97;55494;49548
98;55428;49230
99;55266;49624
100;55756;49298
101;54702;49722
102;56590;49552
103;54538;49172
104;54982;49528
105;55782;49584
106;55766;49236
107;55396;49058
108;55918;49216
109;54522;49136
110;55194;49370
111;55160;49750
112;56082;49472
113;55034;49624
114;55524;49174
115;55968;49552
116;55380;49352
117;55334;49228
118;54922;49500
119;56184;49394
120;56390;49500
121;55836;49226
122;55066;49428
123;56154;49640
124;56402;49364
125;55770;48962
126;54906;49698
127;55642;49584
128;55196;49456
129;55864;49676
130;55336;49566
131;55258;49682
132;55728;49316
133;56196;49272
134;54840;49046
135;55320;49912
136;55104;49312
137;54970;49706
138;56006;49176
139;55940;49446
140;54750;49334
141;56212;49592
142;55664;49768
143;55586;49828
144;55682;49938
145;55858;49718
146;55618;49280
147;55624;49698
148;55784;49818
149;54890;49468
150;55850;49540
151;56142;49386
152;55418;49422
153;54350;49636
154;55806;49116
155;55990;49862
156;54940;49132
157;55504;49942
158;55744;49260
159;55988;49474
160;55670;49636
161;55306;49322
162;55614;49820
163;55634;49624
164;56454;49262
165;55656;49756
166;56584;49266
167;56296;49228
168;55240;49690
169;55096;49558
170;55174;49876
171;54748;49416
172;55456;49020
173;55260;49588
174;54894;49442
175;55660;49562
176;55550;49336
177;54812;49552
178;54868;49510
179;54920;49316
180;55614;49222
181;54970;49450
182;56150;49414
183;56118;49212
184;55394;49248
185;55574;49544
186;55798;49200
187;54940;49414
188;54902;49524
189;55702;49674
190;55366;49436
191;55264;49346
192;55958;49406
193;56160;49322
194;55098;49594
195;55360;49706
196;54718;49240
197;55762;49232
198;55604;49240
199;55012;49440
200;55654;49728
