Iteration;BeginSolution;EndSolution
1;1456;996
2;1378;996
3;1200;996
4;1530;996
5;1374;996
6;1560;996
7;1432;996
8;1136;996
9;1540;996
10;1474;996
11;1398;996
12;1292;996
13;1364;996
14;1308;996
15;1478;996
16;1300;996
17;1358;996
18;1486;996
19;1402;996
20;1472;996
21;1358;996
22;1376;996
23;1366;996
24;1254;996
25;1446;996
26;1172;996
27;1416;996
28;1434;996
29;1470;996
30;1242;996
31;1274;996
32;1476;996
33;1484;996
34;1422;996
35;1264;996
36;1508;996
37;1250;996
38;1308;996
39;1206;996
40;1416;996
41;1500;996
42;1556;996
43;1014;996
44;1346;996
45;1498;996
46;1472;996
47;1272;996
48;1096;996
49;1480;996
50;1332;996
51;1362;996
52;1478;996
53;1522;996
54;1318;996
55;1508;996
56;1450;996
57;1480;996
58;1306;996
59;1522;996
60;1540;996
61;1390;996
62;1410;996
63;1438;996
64;1466;996
65;1342;996
66;1398;996
67;1532;996
68;1444;996
69;1524;996
70;1332;996
71;1416;996
72;1424;996
73;1484;996
74;1512;996
75;1224;996
76;1470;996
77;1326;996
78;1400;996
79;1520;996
80;1350;996
81;1472;996
82;1324;996
83;1382;996
84;1262;996
85;1426;996
86;1200;996
87;1326;996
88;1206;996
89;1468;996
90;1310;996
91;1358;996
92;1306;996
93;1526;996
94;1454;996
95;1312;996
96;1324;996
97;1304;996
98;1462;996
99;1536;996
100;1468;996
101;1422;996
102;1522;996
103;1358;996
104;1180;996
105;1470;996
106;1414;996
107;1506;996
108;1510;996
109;1524;996
110;1220;996
111;1386;996
112;1376;996
113;1414;996
114;1340;996
115;1400;996
116;1468;996
117;1380;996
118;1546;996
119;1150;996
120;1468;996
121;1518;996
122;1454;996
123;1230;996
124;1306;996
125;1474;996
126;1394;996
127;1308;996
128;1444;996
129;1538;996
130;1342;996
131;1494;996
132;1520;996
133;1456;996
134;1388;996
135;1410;996
136;1474;996
137;1438;996
138;1480;996
139;1388;996
140;1438;996
141;1392;996
142;1464;996
143;1470;996
144;1436;996
145;1324;996
146;1438;996
147;1492;996
148;1102;996
149;1448;996
150;1418;996
151;1286;996
152;1534;996
153;1426;996
154;1448;996
155;1476;996
156;1534;996
157;1418;996
158;1462;996
159;1334;996
160;1386;996
161;1470;996
162;1276;996
163;1412;996
164;1436;996
165;1422;996
166;1464;996
167;1278;996
168;1542;996
169;1444;996
170;1380;996
171;1334;996
172;1474;996
173;1446;996
174;1540;996
175;1388;996
176;1462;996
177;1472;996
178;1388;996
179;1522;996
180;1332;996
181;1542;996
182;1250;996
183;1236;996
184;1370;996
185;1256;996
186;1152;996
187;1552;996
188;1412;996
189;1544;996
190;1518;996
191;1404;996
192;1348;996
193;1422;996
194;1212;996
195;1276;996
196;1398;996
197;1262;996
198;1304;996
199;1458;996
200;1340;996
