Iteration;BeginSolution;EndSolution
1;173442;171359
2;173879;171341
3;173697;171440
4;173824;171360
5;173587;171424
6;173604;171378
7;173803;171533
8;173807;171364
9;173979;171367
10;173566;171379
11;173689;171264
12;173565;171321
13;173748;171265
14;173911;171364
15;173749;171328
16;173748;171529
17;173916;171496
18;173617;171344
19;173803;171482
20;173720;171290
21;173845;171313
22;173787;171408
23;173565;171433
24;173604;171354
25;173729;171310
26;173977;171526
27;173818;171438
28;173846;171404
29;173746;171445
30;173367;171382
31;174080;171493
32;173912;171301
33;173868;171336
34;173824;171419
35;173573;171417
36;173912;171299
37;174005;171462
38;173720;171219
39;173510;171490
40;173608;171281
41;173786;171369
42;174022;171406
43;173476;171452
44;173817;171435
45;173674;171341
46;173617;171242
47;173692;171400
48;173612;171438
49;174200;171355
50;173861;171430
51;173746;171350
52;173658;171404
53;173614;171405
54;173748;171223
55;173858;171260
56;173679;171291
57;173604;171350
58;173933;171333
59;173869;171329
60;173585;171454
61;173706;171469
62;173528;171550
63;173783;171474
64;173842;171471
65;173416;171279
66;173568;171420
67;173558;171371
68;173994;171398
69;173931;171440
70;173712;171471
71;173500;171555
72;173555;171397
73;173781;171381
74;173892;171405
75;173852;171388
76;174292;171369
77;173534;171398
78;173751;171390
79;173724;171451
80;173583;171452
81;173681;171486
82;173718;171463
83;173994;171411
84;173655;171473
85;174216;171319
86;173964;171373
87;173575;171546
88;173832;171332
89;173753;171307
90;173772;171382
91;173651;171357
92;173813;171342
93;173642;171462
94;173786;171465
95;173611;171436
96;173868;171424
97;173949;171318
98;173658;171366
99;173605;171348
100;173903;171372
101;173497;171286
102;173877;171451
103;173397;171183
104;173881;171334
105;173877;171326
106;173726;171435
107;173615;171394
108;173788;171324
109;173272;171449
110;173862;171483
111;173930;171448
112;173837;171528
113;173518;171488
114;174097;171424
115;173926;171453
116;173825;171474
117;173813;171305
118;173668;171489
119;173691;171384
120;173832;171188
121;173815;171376
122;174002;171294
123;173938;171311
124;173541;171375
125;173393;171432
126;173573;171481
127;173656;171269
128;174025;171372
129;173893;171302
130;173999;171361
131;173590;171382
132;173547;171438
133;173937;171382
134;173849;171504
135;173980;171244
136;173855;171325
137;173740;171458
138;173710;171404
139;173572;171472
140;173970;171303
141;173801;171410
142;173477;171450
143;173868;171391
144;173800;171454
145;174063;171283
146;173540;171328
147;173380;171396
148;173648;171307
149;173572;171267
150;173648;171370
151;173785;171303
152;173805;171419
153;173613;171427
154;173749;171436
155;173829;171410
156;173832;171296
157;173717;171555
158;173832;171486
159;173674;171419
160;173582;171323
161;173782;171406
162;173890;171312
163;173510;171568
164;173693;171264
165;173902;171428
166;173896;171268
167;173898;171445
168;173435;171518
169;173878;171264
170;173579;171247
171;173590;171563
172;173699;171506
173;173768;171332
174;173677;171405
175;173941;171422
176;173968;171432
177;173812;171173
178;173938;171364
179;173912;171288
180;173920;171402
181;173327;171336
182;173588;171310
183;173818;171543
184;173772;171397
185;173502;171242
186;173702;171444
187;173517;171374
188;173607;171465
189;173647;171415
190;173697;171470
191;173843;171340
192;173685;171502
193;173599;171281
194;173891;171288
195;173751;171337
196;173609;171352
197;173814;171344
198;173562;171280
199;173910;171331
200;173956;171506
