Iteration;BeginSolution;EndSolution
1;8274;6348
2;8056;6392
3;7966;6544
4;7630;6268
5;8612;6408
6;8086;6314
7;8402;6520
8;8196;6418
9;8342;6326
10;8224;6328
11;8242;6392
12;7914;6352
13;8138;6514
14;8042;6500
15;8418;6504
16;8236;6330
17;7890;6456
18;7856;6384
19;8070;6422
20;7902;6520
21;7738;6294
22;8120;6452
23;8388;6344
24;7876;6348
25;8072;6376
26;8350;6364
27;7994;6420
28;8266;6458
29;8244;6422
30;8028;6356
31;7982;6216
32;8086;6518
33;7932;6230
34;7978;6358
35;8020;6240
36;8284;6348
37;8300;6352
38;8142;6526
39;7852;6368
40;8274;6426
41;8458;6342
42;8214;6368
43;8000;6272
44;8042;6326
45;7834;6508
46;7930;6416
47;8288;6498
48;7778;6408
49;8202;6502
50;8184;6466
51;8542;6298
52;8534;6398
53;8626;6304
54;8094;6342
55;7968;6266
56;8322;6324
57;7920;6486
58;7798;6352
59;8112;6484
60;7940;6226
61;8078;6314
62;8000;6220
63;7734;6530
64;8392;6304
65;8180;6392
66;7974;6428
67;8082;6518
68;8026;6368
69;8088;6260
70;8130;6358
71;8502;6448
72;7762;6348
73;8244;6328
74;7998;6242
75;8128;6370
76;7952;6466
77;8162;6228
78;8498;6462
79;8118;6320
80;8028;6296
81;8472;6328
82;8072;6356
83;8176;6552
84;7990;6330
85;8370;6298
86;7918;6484
87;8068;6536
88;8068;6384
89;8228;6368
90;7970;6364
91;7912;6472
92;8138;6438
93;8040;6504
94;7844;6316
95;7840;6308
96;8096;6400
97;7930;6412
98;8046;6390
99;8476;6230
100;8146;6390
101;8280;6386
102;8212;6392
103;7958;6342
104;8050;6300
105;8576;6460
106;8018;6490
107;8346;6430
108;7904;6458
109;8244;6386
110;8284;6456
111;7996;6220
112;7928;6378
113;8178;6462
114;8452;6488
115;8034;6538
116;8556;6392
117;7758;6370
118;8196;6622
119;7958;6340
120;7740;6414
121;8000;6336
122;8426;6466
123;8120;6562
124;7930;6382
125;8360;6282
126;8306;6398
127;7938;6386
128;8280;6364
129;8170;6456
130;8158;6302
131;7976;6210
132;8138;6468
133;8396;6652
134;8248;6436
135;7980;6326
136;8118;6506
137;7914;6376
138;7910;6254
139;8088;6468
140;7888;6414
141;7690;6344
142;8010;6332
143;8110;6440
144;8200;6366
145;8014;6380
146;7972;6416
147;8272;6446
148;7798;6312
149;7658;6268
150;7948;6426
151;7918;6334
152;8030;6466
153;7984;6382
154;8240;6440
155;7910;6440
156;7958;6332
157;8200;6376
158;8000;6246
159;8352;6300
160;8150;6320
161;8166;6548
162;8400;6342
163;8384;6372
164;7890;6286
165;7690;6364
166;8006;6338
167;8098;6606
168;8036;6452
169;8158;6402
170;8334;6272
171;7928;6316
172;8442;6282
173;8034;6324
174;8030;6330
175;7974;6506
176;8332;6418
177;8168;6398
178;8426;6372
179;7996;6358
180;7844;6282
181;8136;6420
182;8398;6316
183;8102;6392
184;8022;6330
185;8230;6446
186;8282;6446
187;8288;6356
188;8122;6474
189;8010;6270
190;8200;6378
191;8362;6310
192;7600;6318
193;7806;6328
194;8318;6270
195;7958;6390
196;8106;6476
197;8258;6204
198;8266;6620
199;8072;6450
200;8258;6404
