Iteration;BeginSolution;EndSolution
1;483020;396422
2;445236;385768
3;470798;388282
4;497590;375958
5;482970;373068
6;476538;371778
7;479104;376640
8;460954;367598
9;469560;382470
10;475562;384728
11;449514;375896
12;439188;380520
13;433308;377776
14;471054;383684
15;452190;374550
16;455016;381424
17;461750;376116
18;474734;385338
19;459986;387876
20;478622;371906
21;493100;382006
22;448830;380418
23;459322;373614
24;463582;400224
25;464656;379762
26;497512;384646
27;465404;360946
28;475344;388078
29;455476;370942
30;482362;366806
31;500316;379420
32;487772;380874
33;473648;376220
34;458102;373206
35;448560;375524
36;463576;378848
37;449894;381540
38;469618;365364
39;498516;390022
40;445912;378200
41;462948;378704
42;470912;364764
43;482160;366108
44;503450;375866
45;463850;383496
46;455182;385564
47;463174;401418
48;481160;368668
49;460884;387024
50;465126;375284
51;499084;378234
52;461528;375058
53;471842;378412
54;465218;374820
55;481650;373610
56;449794;380478
57;472854;364764
58;484982;369480
59;462290;371954
60;468016;372652
61;448926;386130
62;486928;379034
63;454368;376222
64;481638;383492
65;451958;379872
66;478080;383806
67;433336;377742
68;487030;369768
69;487154;378788
70;461732;376136
71;466088;367552
72;443638;365820
73;468796;356874
74;475800;369522
75;486058;374738
76;469744;378000
77;483564;384110
78;497254;380538
79;491480;379204
80;492712;374862
81;466814;376100
82;475292;383482
83;461666;395464
84;497552;380608
85;492864;372594
86;492756;382888
87;477790;385472
88;489878;377502
89;461216;393682
90;500072;391044
91;419134;372780
92;467770;392260
93;473412;380358
94;440094;376542
95;453878;384388
96;461890;379032
97;463880;387454
98;460450;384960
99;486744;372090
100;484172;375148
101;485892;373538
102;459176;383308
103;483094;378420
104;474164;380852
105;492966;383886
106;469004;369338
107;456816;376672
108;445820;376094
109;482094;373686
110;452574;381030
111;460942;400108
112;455890;388480
113;485820;378134
114;482756;375598
115;468564;369976
116;465328;380390
117;464164;372728
118;474778;370372
119;439852;381734
120;449636;380110
121;482550;377252
122;451584;374214
123;460064;374488
124;448192;396526
125;478604;379516
126;441474;376158
127;459882;378048
128;467572;388612
129;488736;383652
130;443956;386574
131;463266;376390
132;439452;385800
133;458262;378076
134;443560;398018
135;467294;374374
136;440676;370974
137;484646;381340
138;473712;382666
139;480576;370768
140;496272;388566
141;457604;386670
142;463864;391802
143;460998;385234
144;445870;373270
145;475724;366842
146;466982;387952
147;461904;371204
148;442882;388380
149;457448;377740
150;453936;385036
151;476134;384072
152;446852;382490
153;493220;370372
154;464998;385250
155;453742;364200
156;450094;390380
157;440442;380710
158;441750;373528
159;447198;384372
160;469856;372138
161;463360;388586
162;509900;372294
163;452532;382454
164;445006;366930
165;473884;374884
166;491786;377244
167;469204;372622
168;455262;368668
169;469594;381200
170;458984;387348
171;453356;385892
172;459248;382936
173;449436;378026
174;456890;373864
175;498046;366582
176;475284;388682
177;451708;386862
178;442268;388774
179;493220;373864
180;471210;383516
181;461758;386156
182;489866;407588
183;466172;399148
184;471236;393524
185;460076;377670
186;460838;377456
187;445794;362918
188;477140;385712
189;460554;384306
190;486136;390030
191;443516;377566
192;428956;380886
193;486166;374206
194;468730;374172
195;492974;378012
196;483060;385442
197;460810;377812
198;454758;372384
199;479390;370896
200;468556;392890
