Iteration;BeginSolution;EndSolution
1;251514;117832
2;204272;117832
3;227730;117832
4;234890;114296
5;234024;114296
6;234152;114296
7;197858;114296
8;202254;114296
9;186170;114296
10;247374;114296
11;206798;114296
12;251880;114296
13;201344;114296
14;237210;114296
15;212914;114296
16;201170;114296
17;203734;113460
18;262738;113460
19;252776;112692
20;246576;112692
21;215678;112692
22;233264;112692
23;239982;112692
24;206926;112692
25;225398;112692
26;244098;112692
27;187362;112692
28;216522;112448
29;228454;112448
30;188250;112448
31;254108;110994
32;231504;110994
33;260234;110994
34;238332;110994
35;244930;110994
36;241304;110994
37;242226;110994
38;198868;110994
39;224224;110994
40;210992;110994
41;230696;110994
42;208634;110994
43;216310;110994
44;226242;110994
45;212108;110994
46;257852;110994
47;219048;110994
48;226012;110994
49;210026;110994
50;213146;110994
51;237486;110994
52;237838;110994
53;200880;110994
54;235248;110994
55;226766;110994
56;248168;110994
57;226256;110868
58;205604;110868
59;236378;110868
60;206072;110868
61;215782;110868
62;215130;110868
63;223814;110868
64;221936;110868
65;227466;110868
66;214056;110868
67;208712;110868
68;238778;110868
69;235162;110868
70;240698;110868
71;263354;110868
72;183880;110868
73;213710;110868
74;204878;110868
75;233654;110868
76;228890;110868
77;252270;110868
78;231724;110868
79;257168;110868
80;224182;110868
81;255336;110868
82;233944;110868
83;218552;110868
84;249552;110868
85;211338;110868
86;225168;110868
87;213192;110868
88;226120;110868
89;254390;110868
90;243020;110868
91;240062;110868
92;198418;110868
93;232928;110868
94;258212;110868
95;254102;110868
96;240254;110868
97;265340;110868
98;205070;110868
99;217080;110868
100;241578;110868
101;228406;110868
102;235454;110868
103;242010;110868
104;240632;110868
105;239582;110868
106;200028;110868
107;235392;110868
108;238052;110868
109;215916;110868
110;214636;110868
111;204612;110868
112;231224;110868
113;217268;110868
114;232584;110868
115;204796;110868
116;186490;110868
117;231818;110868
118;214456;110868
119;235958;110868
120;239388;110868
121;230502;110868
122;242324;110868
123;245144;110868
124;185876;110868
125;232766;110868
126;217504;110868
127;184870;110868
128;247520;110868
129;226296;110868
130;217472;110868
131;190064;110868
132;220506;110868
133;280346;110868
134;206506;110868
135;223060;110868
136;216892;110868
137;221210;110868
138;186772;110868
139;216424;110868
140;223044;110868
141;229970;110868
142;182566;110868
143;217416;110868
144;212410;110868
145;201968;110868
146;209092;110868
147;213102;110868
148;216416;110868
149;211820;110868
150;219978;110868
151;254434;110868
152;210012;110868
153;234352;110868
154;211614;110868
155;197992;110868
156;230348;110868
157;266422;110868
158;183238;110868
159;225658;110868
160;232176;110868
161;236578;110868
162;211212;110868
163;251386;110868
164;239808;110868
165;269076;110868
166;235174;110868
167;241376;110868
168;201400;110868
169;214542;110868
170;244508;110868
171;192324;110868
172;236746;110868
173;175170;110868
174;242336;110868
175;222814;110868
176;213914;110868
177;202308;110868
178;236620;110868
179;196494;110868
180;230772;110868
181;227256;110868
182;210158;110868
183;217450;110868
184;192348;110868
185;210274;110868
186;220752;110868
187;216800;110868
188;256864;110868
189;238558;110868
190;231608;110868
191;218028;110868
192;207202;110868
193;181900;110868
194;249096;110868
195;252404;110868
196;211622;110868
197;240012;110868
198;220020;110868
199;262644;110868
200;238406;110868
