Iteration;BeginSolution;EndSolution
1;24574;10520
2;20130;10458
3;22936;10196
4;21972;11122
5;23282;10600
6;24782;11150
7;25640;10498
8;24308;11238
9;25128;11036
10;20580;10462
11;24062;10718
12;25334;11434
13;22056;10908
14;22992;10354
15;29114;10584
16;24852;11734
17;23512;10378
18;23650;10210
19;23414;10328
20;21096;10432
21;23424;10858
22;21296;10040
23;24054;11104
24;21916;10706
25;22376;10576
26;20230;11326
27;20630;11694
28;22754;11134
29;19456;11020
30;23972;11172
31;23812;10460
32;22974;11166
33;22844;10238
34;22962;10832
35;24480;10846
36;23652;10652
37;20274;10510
38;20760;11160
39;21694;10676
40;24850;11074
41;23114;10718
42;19306;10872
43;21982;10398
44;21444;11458
45;24222;10504
46;24668;10300
47;23358;10168
48;23446;10424
49;20574;10488
50;22348;11106
51;25412;10766
52;23986;10710
53;25518;9890
54;23776;9988
55;22640;10246
56;22160;10828
57;20650;11794
58;23318;10836
59;22184;11136
60;21870;10686
61;21386;10172
62;23738;10078
63;21210;10670
64;22314;11328
65;22576;10802
66;24368;11126
67;21016;9952
68;27000;10840
69;24934;11654
70;26846;10558
71;19786;10260
72;22784;10254
73;21742;10974
74;25408;9908
75;22054;10796
76;24506;11254
77;18830;9894
78;24986;10746
79;19766;10780
80;25266;10192
81;23292;11416
82;22574;10502
83;19860;10494
84;24758;10984
85;21702;10176
86;21432;11528
87;27544;10612
88;27602;10236
89;22652;10236
90;23204;10688
91;23214;11440
92;22460;10236
93;21508;10668
94;22002;10310
95;21052;10418
96;21962;10544
97;22554;10826
98;21476;10340
99;23374;10282
100;22546;10462
101;25794;10608
102;22962;10356
103;23208;9996
104;24318;10802
105;22272;10272
106;24794;10462
107;24902;10614
108;21080;10392
109;22268;10244
110;23402;10460
111;23648;10836
112;24322;10536
113;25480;10760
114;22152;10524
115;21656;10216
116;23972;10734
117;23100;10862
118;20918;10624
119;27366;10580
120;22464;10668
121;23296;11334
122;22150;10516
123;26860;11278
124;24052;10626
125;22846;11848
126;23878;10414
127;20558;10490
128;21266;11020
129;21534;10710
130;25190;10252
131;23690;10122
132;20960;10188
133;23554;10020
134;22704;10926
135;23994;10558
136;19220;10586
137;20988;10848
138;22512;10350
139;22220;10878
140;20204;11132
141;20052;10588
142;23308;10254
143;22442;10272
144;22906;10084
145;24198;10684
146;24040;10354
147;19762;10562
148;22064;10648
149;24640;10460
150;21664;10168
151;19262;10696
152;18362;10712
153;20774;10998
154;22508;10774
155;21538;10384
156;19162;10562
157;21230;10174
158;19598;10578
159;23560;10540
160;24706;11074
161;20816;10214
162;24828;10480
163;21454;10566
164;20188;10324
165;20266;10272
166;20532;10902
167;24234;10514
168;22572;10190
169;22472;10796
170;21240;9700
171;20968;11046
172;25540;10188
173;24734;10062
174;20732;10836
175;24040;10974
176;24224;10430
177;23674;11210
178;23516;9996
179;21940;11532
180;22002;10142
181;20194;10936
182;23994;10756
183;22096;10460
184;18884;10390
185;25630;11352
186;24140;10110
187;24966;10578
188;21982;10242
189;23464;10528
190;19526;11042
191;24120;11198
192;23742;10410
193;25086;10586
194;22756;10688
195;21140;10534
196;22086;11256
197;22398;10654
198;23022;11186
199;23634;10728
200;24546;10872
