Iteration;BeginSolution;EndSolution
1;55528;49838
2;55242;49540
3;55358;49208
4;54846;49500
5;54692;49692
6;55442;49706
7;56440;49378
8;55044;49866
9;56238;49816
10;55422;50196
11;54494;50050
12;55158;49386
13;55864;49846
14;55560;49900
15;54938;49998
16;56088;49864
17;55514;49926
18;54998;49764
19;56076;49866
20;55382;49114
21;56436;49520
22;56456;49778
23;55962;49296
24;55262;49350
25;55042;49308
26;55844;49840
27;55390;49500
28;55710;49664
29;55694;49468
30;56056;49476
31;55248;49630
32;55230;50104
33;55120;49688
34;54450;49594
35;55506;49166
36;56098;49696
37;55434;49816
38;55472;49140
39;54678;49454
40;55774;49482
41;55152;49166
42;55574;49550
43;55472;49884
44;54824;50106
45;55280;49798
46;55298;49740
47;56516;49756
48;55822;49954
49;55718;49756
50;55224;49786
51;55512;50118
52;55570;49152
53;55600;49782
54;54874;49902
55;55856;49524
56;54814;49642
57;56044;49520
58;54148;49260
59;55198;49674
60;55742;50088
61;55286;49814
62;55288;49494
63;55376;49388
64;54768;49762
65;55398;49464
66;56126;49418
67;55468;49450
68;56032;49550
69;56038;49996
70;55142;49932
71;55842;49970
72;55578;50328
73;55248;49268
74;55312;49754
75;56118;49736
76;55554;49292
77;55320;49640
78;54332;49232
79;54894;49714
80;56322;49178
81;55100;50102
82;55196;49884
83;54870;49936
84;55596;49148
85;55050;49536
86;55400;49430
87;54988;49632
88;55802;49680
89;55346;50208
90;53770;49870
91;55700;49416
92;55206;49658
93;56160;49678
94;56096;49996
95;55862;49512
96;56266;49398
97;55888;49514
98;54844;49870
99;54376;49264
100;56034;49810
101;55670;50008
102;56294;49446
103;54354;49576
104;56116;49800
105;55410;49934
106;55556;49496
107;55268;49828
108;56336;49214
109;55544;49332
110;55630;49544
111;54878;50048
112;55302;49358
113;55098;49892
114;55498;49374
115;56048;49998
116;55594;49802
117;56158;49868
118;54432;49572
119;55696;49526
120;55304;49940
121;55902;49806
122;55942;49540
123;54646;49498
124;55634;49878
125;55660;50136
126;55860;49990
127;55544;49874
128;55114;49388
129;54954;49976
130;54750;50074
131;54876;50082
132;55910;49430
133;55088;49192
134;54482;49600
135;55648;49528
136;56050;49240
137;55006;49544
138;54896;49580
139;56554;49118
140;55564;49530
141;55178;49636
142;55466;49806
143;55724;49308
144;55340;49534
145;55286;49184
146;55346;49474
147;55570;49426
148;54816;49746
149;55224;49222
150;56536;50056
151;56326;49926
152;55558;49300
153;55530;49600
154;56340;49158
155;55528;49922
156;55686;49048
157;56286;49956
158;55742;50018
159;54514;49140
160;55344;49638
161;55766;49818
162;56328;49818
163;55590;49726
164;56292;49582
165;55828;49772
166;56052;50268
167;54656;49286
168;55536;49562
169;55732;49842
170;55536;49320
171;55914;49236
172;55498;50040
173;55384;49470
174;54820;49408
175;54474;50096
176;55150;49940
177;55378;49142
178;54362;50238
179;55412;49296
180;54620;49366
181;56114;49794
182;56218;49812
183;54658;49978
184;55010;49800
185;55020;49052
186;55766;49132
187;56870;49178
188;55032;49812
189;54562;49912
190;54224;50220
191;55290;49344
192;54316;49310
193;55048;49172
194;55690;49800
195;56324;49802
196;55916;49308
197;54344;49458
198;56254;50020
199;54792;49694
200;56180;50176
